# Generated by QuTiP: 100x4 real matrix in exp format [',' separated values].
0.0000000000e+00,4.4627950614e+00,2.0759186378e+00,-1.2683363455e-01
1.0101010101e+00,3.6072168646e+00,8.9182274189e-01,-1.4722257437e+00
2.0202020202e+00,2.9805280278e+00,-6.4789364413e-01,-1.3075435366e+00
3.0303030303e+00,2.5108249100e+00,-1.2485155751e+00,-1.2975807998e-01
4.0404040404e+00,2.1551355823e+00,-6.7192107759e-01,8.5505312850e-01
5.0505050505e+00,1.8841698938e+00,3.1800007580e-01,8.9074106650e-01
6.0606060606e+00,1.6769981608e+00,8.0488609781e-01,1.7878610379e-01
7.0707070707e+00,1.5182356096e+00,5.0614112613e-01,-5.1182390798e-01
8.0808080808e+00,1.3963848053e+00,-1.4334876040e-01,-6.1249362933e-01
9.0909090909e+00,1.3027668021e+00,-5.2021277846e-01,-1.7880432010e-01
1.0101010101e+01,1.2307884071e+00,-3.7456385831e-01,3.0217924825e-01
1.1111111111e+01,1.1754198562e+00,4.9587938325e-02,4.1825515672e-01
1.2121212121e+01,1.1328131544e+00,3.3313874309e-01,1.5797118961e-01
1.3131313131e+01,1.1000186221e+00,2.7224695709e-01,-1.7344389557e-01
1.4141414141e+01,1.0747720688e+00,-1.8354001407e-03,-2.8264959282e-01
1.5151515152e+01,1.0553338054e+00,-2.1046952167e-01,-1.3027088594e-01
1.6161616162e+01,1.0403662188e+00,-1.9463820295e-01,9.5425470947e-02
1.7171717172e+01,1.0288403478e+00,-1.9875067648e-02,1.8880610676e-01
1.8181818182e+01,1.0199643863e+00,1.3078472078e-01,1.0267930394e-01
1.9191919192e+01,1.0131288726e+00,1.3707628599e-01,-4.9184137321e-02
2.0202020202e+01,1.0078646220e+00,2.7363378060e-02,-1.2458555887e-01
2.1212121212e+01,1.0038103825e+00,-7.9668127104e-02,-7.8325913842e-02
2.2222222222e+01,1.0006879929e+00,-9.5207614647e-02,2.2613247767e-02
2.3232323232e+01,9.9828325104e-01,-2.7571710551e-02,8.1155706294e-02
2.4242424242e+01,9.9643120224e-01,4.7357465662e-02,5.8252963495e-02
2.5252525253e+01,9.9500481193e-01,6.5269407962e-02,-7.9958671701e-03
2.6262626263e+01,9.9390624820e-01,2.4470135712e-02,-5.2140315304e-02
