0.000000000000000000e+00	1.500000000000000000e+00	5.000000000000000000e-01	-5.000000000000000000e-01	-1.500000000000000000e+00
1.000000014901161194e-01	1.469696969240858131e+00	4.898989897469527288e-01	-4.898989897469527288e-01	-1.469696969240858131e+00
2.000000029802322388e-01	1.439393938481716484e+00	4.797979794939055131e-01	-4.797979794939055131e-01	-1.439393938481716484e+00
3.000000044703483582e-01	1.409090907722574837e+00	4.696969692408582420e-01	-4.696969692408582420e-01	-1.409090907722574837e+00
4.000000059604644775e-01	1.378787876963432968e+00	4.595959589878109708e-01	-4.595959589878109708e-01	-1.378787876963432968e+00
5.000000074505805969e-01	1.348484846204291321e+00	4.494949487347637551e-01	-4.494949487347637551e-01	-1.348484846204291321e+00
6.000000089406967163e-01	1.318181815445149452e+00	4.393939384817164839e-01	-4.393939384817164839e-01	-1.318181815445149452e+00
7.000000104308128357e-01	1.287878784686007805e+00	4.292929282286692683e-01	-4.292929282286692683e-01	-1.287878784686007805e+00
8.000000119209289551e-01	1.257575753926865936e+00	4.191919179756219971e-01	-4.191919179756219971e-01	-1.257575753926865936e+00
9.000000134110450745e-01	1.227272723167724067e+00	4.090909077225747259e-01	-4.090909077225747259e-01	-1.227272723167724067e+00
1.000000014901161194e+00	1.196969692408582642e+00	3.989898974695275102e-01	-3.989898974695275102e-01	-1.196969692408582642e+00
1.100000016391277313e+00	1.166666661649440773e+00	3.888888872164802391e-01	-3.888888872164802391e-01	-1.166666661649440773e+00
1.200000017881393433e+00	1.136363630890298904e+00	3.787878769634329679e-01	-3.787878769634329679e-01	-1.136363630890298904e+00
1.300000019371509552e+00	1.106060600131157257e+00	3.686868667103857522e-01	-3.686868667103857522e-01	-1.106060600131157257e+00
1.400000020861625671e+00	1.075757569372015388e+00	3.585858564573384810e-01	-3.585858564573384810e-01	-1.075757569372015388e+00
1.500000022351741791e+00	1.045454538612873741e+00	3.484848462042912098e-01	-3.484848462042912098e-01	-1.045454538612873741e+00
1.600000023841857910e+00	1.015151507853731871e+00	3.383838359512439942e-01	-3.383838359512439942e-01	-1.015151507853731871e+00
1.700000025331974030e+00	9.848484770945902245e-01	3.282828256981967230e-01	-3.282828256981967230e-01	-9.848484770945902245e-01
1.800000026822090149e+00	9.545454463354483554e-01	3.181818154451494518e-01	-3.181818154451494518e-01	-9.545454463354483554e-01
1.900000028312206268e+00	9.242424155763067084e-01	3.080808051921022361e-01	-3.080808051921022361e-01	-9.242424155763067084e-01
2.000000029802322388e+00	8.939393848171648393e-01	2.979797949390549650e-01	-2.979797949390549650e-01	-8.939393848171648393e-01
2.100000031292438507e+00	8.636363540580230813e-01	2.878787846860076938e-01	-2.878787846860076938e-01	-8.636363540580230813e-01
2.200000032782554626e+00	8.333333232988814343e-01	2.777777744329604781e-01	-2.777777744329604781e-01	-8.333333232988814343e-01
2.300000034272670746e+00	8.030302925397396763e-01	2.676767641799132069e-01	-2.676767641799132069e-01	-8.030302925397396763e-01
2.400000035762786865e+00	7.727272617805978072e-01	2.575757539268659357e-01	-2.575757539268659357e-01	-7.727272617805978072e-01
2.500000037252902985e+00	7.424242310214561602e-01	2.474747436738187201e-01	-2.474747436738187201e-01	-7.424242310214561602e-01
2.600000038743019104e+00	7.121212002623142912e-01	2.373737334207714489e-01	-2.373737334207714489e-01	-7.121212002623142912e-01
2.700000040233135223e+00	6.818181695031725331e-01	2.272727231677241777e-01	-2.272727231677241777e-01	-6.818181695031725331e-01
2.800000041723251343e+00	6.515151387440308861e-01	2.171717129146769620e-01	-2.171717129146769620e-01	-6.515151387440308861e-01
2.900000043213367462e+00	6.212121079848891281e-01	2.070707026616296909e-01	-2.070707026616296909e-01	-6.212121079848891281e-01
3.000000044703483582e+00	5.909090772257472590e-01	1.969696924085824197e-01	-1.969696924085824197e-01	-5.909090772257472590e-01
3.100000046193599701e+00	5.606060464666056120e-01	1.868686821555352040e-01	-1.868686821555352040e-01	-5.606060464666056120e-01
3.200000047683715820e+00	5.303030157074637430e-01	1.767676719024879328e-01	-1.767676719024879328e-01	-5.303030157074637430e-01
3.300000049173831940e+00	4.999999849483219849e-01	1.666666616494406616e-01	-1.666666616494406616e-01	-4.999999849483219849e-01
3.400000050663948059e+00	4.696969541891803379e-01	1.565656513963934460e-01	-1.565656513963934460e-01	-4.696969541891803379e-01
3.500000052154064178e+00	4.393939234300385244e-01	1.464646411433461748e-01	-1.464646411433461748e-01	-4.393939234300385244e-01
3.600000053644180298e+00	4.090908926708967108e-01	1.363636308902989036e-01	-1.363636308902989036e-01	-4.090908926708967108e-01
3.700000055134296417e+00	3.787878619117550638e-01	1.262626206372516879e-01	-1.262626206372516879e-01	-3.787878619117550638e-01
3.800000056624412537e+00	3.484848311526132503e-01	1.161616103842044168e-01	-1.161616103842044168e-01	-3.484848311526132503e-01
3.900000058114528656e+00	3.181818003934716033e-01	1.060606001311572011e-01	-1.060606001311572011e-01	-3.181818003934716033e-01
4.000000059604644775e+00	2.878787696343297897e-01	9.595958987810992991e-02	-9.595958987810992991e-02	-2.878787696343297897e-01
4.100000061094760895e+00	2.575757388751879762e-01	8.585857962506265872e-02	-8.585857962506265872e-02	-2.575757388751879762e-01
4.200000062584877014e+00	2.272727081160463292e-01	7.575756937201544305e-02	-7.575756937201544305e-02	-2.272727081160463292e-01
4.300000064074993134e+00	1.969696773569045156e-01	6.565655911896817187e-02	-6.565655911896817187e-02	-1.969696773569045156e-01
4.400000065565109253e+00	1.666666465977627021e-01	5.555554886592090069e-02	-5.555554886592090069e-02	-1.666666465977627021e-01
